Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
116,96,61,51,,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Meteorological Agency,Fujitsu,Japan,2022,Research,"221,184",,"13,367.00","15,571.35","3,809,280",,461.31,904.72,Submitted,14.77,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"48,169",180169
117,,65,117,Olivia (GPU),"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11, HPE Cray OS",Sigma2,HPE,Norway,2025,Academic,"62,016","40,128","13,200.00","16,803.05","2,627,584",,,219.00,Submitted,60.27,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",HPE Cray OS,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"51,077",180377
118,,65,118,Nano 5,"NVIDIA DGX H100, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR400, RHEL",National Center for High Performance Computing,ASUSTeK / ASUS Cloud / Taiwan Web Service Corporation,Taiwan,2025,Research,"40,880","36,960","13,060.00","19,010.88","1,589,248",,,424.60,Submitted,30.76,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",RHEL,Linux,NVIDIA H200 SXM5 141 GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,Asia,"51,068",180384
119,97,64,97,NHN CLOUD GWANGJU AI,"PowerEdge XE9680, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 80GB, Infiniband NDR, Ubuntu 22.04.3 LTS",NHN CLOUD Corporation,DELL,South Korea,2023,Industry,"43,776","40,128","12,840.00","20,582.75","1,703,936",,,,,,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,"2,100",Ubuntu 22.04.3 LTS,Linux,NVIDIA H100 80GB,48,Xeon Platinum (Sapphire Rapids),PowerEdge XE9680,Dell PowerEdge Cluster,Infiniband,Infiniband NDR,Asia,"51,028",180341
120,98,58,40,Lyapunov,"Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband",Yandex,"NVIDIA, Inspur",Russia,2020,Industry,"130,944","114,048","12,810.00","20,029.19","2,315,808",,,,,,,Cluster,AMD EPYC 7662 64C 2GHz,AMD Zen-2 (Rome),"2,000",Ubuntu 16.04,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-2 (Rome),Inspur NF5488A5,Inspur Cluster,Infiniband,Infiniband,Europe,"50,862",180030
121,99,63,80,Lem,"PowerEdge XE9640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, Nvidia H100 94Gb SXM5, Infiniband NDR200",Wroclaw Centre for Networking and Supercomputing,DELL,Poland,2023,Academic,"44,992","40,128","12,800.00","20,368.00","1,867,776","943,104",,,,,,Cluster,Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,"2,800",AlmaLinux 9.3,Linux,Nvidia H100 SXM5 94Gb,32,Xeon Platinum (Sapphire Rapids),PowerEdge XE9640,Dell PowerEdge Cluster,Infiniband,Infiniband NDR200,Europe,"50,102",180272
122,100,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,"253,600","177,520","12,210.00","18,621.14","5,947,392",,271.87,"1,320.00",Submitted,9.25,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum (Skylake),Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,"50,489",179444
123,101,51,14,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),EVIDEN,France,2017,Research,"561,408",,"11,965.50","23,396.35","10,321,920",,333.76,"3,178.00",Submitted,3.77,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",bullx SCS,Linux,None,68,Intel Xeon Phi,BullSequana X1000,BullSequana,Custom Interconnect,Bull BXI 1.2,Europe,"47,593",179412
124,102,64,102,Kuma,"ThinkSystem SR675 V3, AMD EPYC 9334 32C 2.7GHz, NVIDIA H100, ConnectX-7 Infiniband, Red Hat Enterprise Linux",Ecole Polytechnique Federale de Lausanne,Lenovo,Switzerland,2024,Academic,"26,240","21,120","11,950.00","21,661.18","1,943,040","936,192",118.88,274.36,Submitted,43.56,,Cluster,AMD EPYC 9334 32C 2.7GHz,AMD Zen-4 (Genoa),"2,700",Red Hat Enterprise Linux,Linux,NVIDIA H100,32,AMD Zen-4 (Genoa),ThinkSystem SR675 V3,Lenovo ThinkSystem,Infiniband,ConnectX-7 Infiniband,Europe,"47,783",180344
125,103,58,43,Christofari Neo,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband",SberCloud,Nvidia,Russia,2021,Industry,"98,208","85,536","11,950.00","14,908.61","2,889,216",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",NVIDIA DGX OS 5,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband,Europe,"50,820",180028
126,104,63,84,Carpenter,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",ERDC DSRC,HPE,United States,2023,Research,"276,480",,"11,616.80","12,474.78","7,461,120",,,"1,100.00",Submitted,10.56,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),"2,400",HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"47,771",180280
127,105,62,67,Kestrel CPU,"HPE Cray EX, Xeon Platinum 8470Q 52C 2.1GHz, Slingshot-11",National Renewable Energy Laboratory,HPE,United States,2023,Research,"212,992",,"11,372.20","14,313.06","6,291,456",,,,,,,MPP,Xeon Platinum 8470Q 52C 2.1GHz,Intel Sapphire Rapids,"2,100",RHEL 8.6,Linux,None,52,Xeon Platinum (Sapphire Rapids),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,481",180219
128,106,64,106,NeXXt AI Factory,"NVIDIA DGX H100 P4387, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 80GB, Infiniband NDR400, Ubuntu 22.04.3 LTS",Fastweb S.p.A.,Nvidia,Italy,2024,Others,"36,208","32,736","11,300.00","17,015.38","1,460,224",,,,,,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,"3,800",Ubuntu 22.04.3 LTS,Linux,NVIDIA H100 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100 P4387,NVIDIA DGX,Infiniband,Infiniband NDR400,Europe,"51,032",180351
129,107,64,107,DeepL Ceres,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR, Ubuntu 22.04.3 LTS",DeepL Datacenter Sweden,Nvidia,Sweden,2023,Others,"20,480","16,896","11,300.00","16,924.67","1,507,328",,,278.00,Submitted,40.65,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04.3 LTS,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,NVIDIA Infiniband NDR,Europe,"51,035",180342
130,108,64,108,43,"HPE Cray XD670, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR, Rocky Linux 8.9",Hessian.AI,HPE,Germany,2024,Research,"39,712","35,904","11,270.00","14,858.00","1,566,720",,,259.20,Submitted,43.48,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Rocky Linux 8.9,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR,Europe,"50,966",180340
131,109,62,68,,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Central Weather Administration,Fujitsu,Taiwan,2023,Government,"184,320",,"11,164.00","12,976.13","3,502,080",,,673.56,Submitted,16.57,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,991",180216
132,,65,132,Cycloud ML Platform,"PowerEdge XE9680, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100, 400g Ethernet, Ubuntu 22.04.5 LTS","CyberAgent, Inc.",Nvidia,Japan,2025,Industry,"37,376","33,792","10,820.00","16,967.20","1,478,656","689,152",,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04.5 LTS,Linux,NVIDIA H200,56,Xeon Platinum (Sapphire Rapids),PowerEdge XE9680,Dell PowerEdge Cluster,Gigabit Ethernet,400g Ethernet,Asia,"51,075",180371
133,,65,133,Torch,"HPE Cray XD670, Xeon Platinum 8592+ 64C 1.9GHz, NVIDIA H200 SXM5 141 GB, Infiniband NDR400, RHEL 9.4",New York University,HPE,United States,2025,Academic,"33,152","29,568","10,790.00","12,253.20","2,043,904",,,210.53,Submitted,51.25,,Cluster,Xeon Platinum 8592+ 64C 1.9GHz,Intel Emerald Rapids,"1,900",RHEL 9.4,Linux,NVIDIA H200 SXM5 141 GB,64,Xeon Platinum 85xx,HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR400,North America,"49,783",180363
134,110,49,12,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",Texas Advanced Computing Center/Univ. of Texas,DELL,United States,2017,Academic,"367,024",,"10,680.70","18,309.22","8,242,944",,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",CentOS,Linux,None,68,Intel Xeon Phi,PowerEdge C6320P,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"48,958",179045
135,111,63,88,Opera Iceland KEF-1 SuperPOD,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 80GB, Infiniband NDR400",Opera KEF-1,Nvidia,Iceland,2024,Industry,"36,208","32,736","10,530.00","17,015.38","1,504,256",,,,,,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,"3,800",NVIDIA DGX OS 5,Linux,NVIDIA H100 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,Europe,"51,006",180266
136,112,57,36,MeluXina - Accelerator Module,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",LuxProvide,EVIDEN,Luxembourg,2021,Research,"99,200","86,400","10,520.00","15,288.00","2,040,192",,280.03,390.25,Submitted,26.96,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),"2,350",RHEL compatible,Linux,NVIDIA Tesla A100 40G,32,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"50,882",179932
137,113,61,58,KT DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",Korea Telecom,Nvidia,South Korea,2022,Industry,"98,208","85,536","10,380.00","14,416.00","2,009,952",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,Asia,"50,961",180163
138,114,61,59,Derecho CPU partition,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11",National Center for Atmospheric Research (NCAR),HPE,United States,2023,Research,"316,416",,"10,324.00","12,403.51","7,987,200",,,,,,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",HPE Cray OS,Linux,None,64,AMD Zen-3 (Milan),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,418",180166
139,,65,139,Blueback CPU,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11, HPE Cray OS",Navy DSRC,HPE,United States,2024,Government,"245,760",,"10,295.20","11,088.69","7,207,680",,,,,,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),"2,400",HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"50,425",180394
140,115,58,68,Levante,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",DKRZ - Deutsches Klimarechenzentrum,EVIDEN,Germany,2022,Research,"352,000",,"10,111.00","13,798.40","5,280,000",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"47,642",180039
141,37,64,37,GMO GPU Cloud,"PowerEdge XE9680, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H200, NVIDIA Spectrum-X Ethernet, Ubuntu 22.04.4 LTS",GMO GPU Cloud,DELL,Japan,2024,Industry,"112,128","101,376","10,050.00","17,357.82","2,097,152",,,186.78,Submitted,53.81,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04.4 LTS,Linux,NVIDIA H200,56,Xeon Platinum (Sapphire Rapids),PowerEdge XE9680,Dell PowerEdge Cluster,Ethernet,NVIDIA Spectrum-X Ethernet,Asia,"51,038",180339
142,116,64,116,SNL CTS-2 Hops,"PowerEdge XE8640, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100 SXM5 80GB, NVIDIA Infiniband NDR, Linux/TOSS",Sandia National Laboratories,DELL,United States,2024,Research,"40,960","33,792","10,030.00","17,585.15","1,583,000",,62.09,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Linux/TOSS,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),PowerEdge XE8640,Dell PowerEdge Cluster,Infiniband,NVIDIA Infiniband NDR,North America,"48,748",180338
143,117,57,37,Cactus,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2021,Government,"327,680",,"10,013.00","11,796.48","8,413,184",,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",HPE Cray OS,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"50,879",179944
144,118,57,38,Dogwood,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2020,Government,"327,680",,"10,013.00","11,796.48","8,413,184",,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",HPE Cray OS,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"50,879",179945
145,119,57,39,Earth Simulator -SX-Aurora TSUBASA,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",Japan Agency for Marine-Earth Science and Technology,NEC,Japan,2021,Research,"43,776",,"9,990.70","13,447.99","5,571,072",,747.80,"1,390.95",Submitted,7.18,,Cluster,Vector Engine Type20B 8C 1.6GHz,NEC Vector Engine,"1,600",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA B401-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,"49,318",179927
146,120,57,40,Amazon EC2 Instance Cluster us-east-1a,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",Descartes Labs,Amazon Web Services,United States,2019,Industry,"172,692",,"9,950.26","15,106.52","7,864,320",,,,,,,Cluster,Xeon Platinum 8124M 18C 3GHz,Intel Skylake,"3,000",Amazon Linux 2,Linux,None,18,Xeon Platinum (Skylake),Amazon EC2 r5.24xlarge,Amazon EC2,Gigabit Ethernet,25G Ethernet,North America,"50,808",179974
147,121,60,68,Dardel GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11, HPE Cray OS",KTH - Royal Institute of Technology,HPE,Sweden,2022,Academic,"56,640","52,800","9,895.00","10,936.32","1,966,080",,94.07,167.71,Submitted,59.00,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"48,188",180126
148,122,64,122,ROMEO-2025,"BullSequana XH3000, Grace Hopper Superchip 72C 3GHz, NVIDIA GH200 Superchip, Quad-Rail NVIDIA InfiniBand NDR200, Red Hat Enterprise Linux",ROMEO HPC Center - Champagne-Ardenne,EVIDEN,France,2024,Academic,"47,328","30,624","9,863.00","16,322.59","2,240,512",,130.46,160.16,Submitted,61.58,,Cluster,GH Superchip 72C 3GHz,NVIDIA Grace CPU,"3,000",Red Hat Enterprise Linux,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,BullSequana XH3000,EVIDEN BullSequana,Infiniband,Quad-Rail NVIDIA InfiniBand NDR200,Europe,"50,497",180311
149,123,57,41,NVIDIA Cambridge-1 DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",NVIDIA Corporation,Nvidia,United States,2021,Vendor,"79,360","69,120","9,682.00","12,047.00","2,515,968",,251.00,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,"48,448",179960
150,124,62,86,SNL CTS-2 Stout,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path, Linux/TOSS",Sandia National Laboratories,DELL,United States,2023,Research,"170,128",,"9,533.44","10,888.19","6,482,580",,73.87,"1,491.14",Submitted,6.39,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),PowerEdge C6220,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,"48,748",180233
151,125,63,98,SNL/NNSA CTS-2 Amber,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",Sandia National Laboratories,DELL,United States,2022,Research,"169,344",,"9,508.36","10,838.02","6,467,626",,77.53,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),PowerEdge C6220,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,"48,748",180262
152,126,59,54,,"Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",Research Institute,HPE,Japan,2022,Research,"72,384","67,392","9,459.00","9,669.30","2,505,216",,199.76,,,,,Cluster,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),"2,800",RHEL 8.4,Linux,NVIDIA A100 SXM4 80 GB,32,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Asia,"50,923",180083
153,127,53,22,DGX SuperPOD,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",NVIDIA Corporation,Nvidia,United States,2020,Vendor,"127,488","122,880","9,444.00","11,209.11","2,519,232",,199.20,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum (Skylake),NVIDIA DGX-2H Pod,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,North America,"48,448",179691
154,129,57,43,JURECA Data Centric Module,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),EVIDEN,Germany,2021,Research,"105,840","81,648","9,330.00","14,508.00","1,928,448",,273.78,384.10,Submitted,24.29,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",CentOS,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179947
155,130,55,24,Gadi,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",National Computational Infrastructure (NCI Australia),Fujitsu / Lenovo,Australia,2020,Academic,"204,032","51,200","9,264.31","15,142.20","7,150,464",,,,,,,Cluster,Xeon Platinum 8274 24C 3.2GHz,Intel Cascade lake,"3,200",CentOS,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Platinum 82xx (Cascade Lake),PRIMERGY CX2570 M5,Fujitsu PRIMERGY,Infiniband,Mellanox HDR Infiniband,Oceania,"47,369",179865
156,,65,156,,"SX-Aurora TSUBASA C401-8, Vector Engine Type 30A 1.6Ghz (16C), Infiniband NDR200, VEOS",Deutscher Wetterdienst,NEC,Germany,2025,Research,"41,920",,"9,204.20","12,223.30","5,181,006",,585.75,"1,164.41",Submitted,7.90,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,"1,584",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR,Europe,"47,712",180393
157,131,61,70,Goethe-NHR,"Supermicro AS-4124GS-TNR, AMD EPYC 7452 32C 2.35GHz, AMD Instinct MI210 64 GB, Mellanox InfiniBand EDR",Universitaet Frankfurt,MEGWARE / Supermicro,Germany,2023,Academic,"96,768","89,856","9,087.00","19,344.19","2,620,800","1,497,600",,195.24,Submitted,46.54,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),"2,350",Linux,Linux,AMD Instinct MI210 64 GB,32,AMD Zen-2 (Rome),Supermicro AS-4124GS-TNR,Supermicro SuperServer,Infiniband,Mellanox InfiniBand EDR,Europe,"49,083",180175
158,132,57,72,Aitken,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",NASA/Ames Research Center/NAS,HPE,United States,2022,Research,"293,936",,"9,070.00","12,493.06","8,229,600",,172.38,"2,010.10",Submitted,4.51,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Tri-Lab Operating System ,Linux,None,64,AMD Zen-2 (Rome),Apollo 9000,HPE Apollo,Infiniband,Mellanox HDR Infiniband,North America,"48,408",179959
159,133,52,20,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,"170,352","161,280","9,000.00","15,208.23","2,862,720",,,797.54,Submitted,11.28,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,"3,000",CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold (Skylake),QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Asia,"48,468",179590
160,134,57,46,Dragão,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,EVIDEN,Brazil,2021,Industry,"188,224","174,080","8,983.00","14,006.48","2,913,408",,,943.12,Submitted,9.52,,Cluster,Xeon Gold 6230R 26C 2.1GHz,Intel Cascade lake,"2,100",CentOS Linux 7,Linux,NVIDIA Tesla V100,26,Xeon Gold 62xx (Cascade Lake),Supermicro SYS-4029GP-TVRT,Supermicro Cluster,Infiniband,Infiniband EDR,South America,"49,587",179941
161,135,57,47,Raven-GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",Max-Planck-Gesellschaft MPI/IPP,Lenovo,Germany,2021,Research,"96,768","82,944","8,620.00","16,031.54","1,959,552",,,377.00,Submitted,22.86,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,"2,400",SUSE Linux Enterprise Server 15 SP2,Linux,NVIDIA A100,36,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,"48,331",179933
162,136,61,75,AIRAWAT - PSAI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",Center for Development of Advanced Computing (C-DAC),Netweb Technologies,India,2023,Research,"81,344","70,848","8,500.00","13,169.86","1,597,440",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,Asia,"49,466",180134
163,137,63,111,Tuwaiq-1,"PowerEdge XE8640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA HGX H100, Infiniband HDR",Saudi Aramco,DELL,Saudi Arabia,2024,Industry,"61,568","54,912","8,487.00","14,173.44","1,863,936","1,863,936",,,,,,Cluster,Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,"2,800",RHEL,Linux,NVIDIA HGX H100,32,Xeon Platinum (Sapphire Rapids),PowerEdge XE8640,Dell PowerEdge Cluster,Infiniband,Infiniband HDR,Asia,"48,751",180260
